"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"ämatlavÈ uhlisko";"Les";"P-108/1978";1989;"30.03.1978";{C310F413-34F9-4A4F-A546-D6C48898FFC3}
"Hukov˝ vrch";"Vrch";"P-378/1975";1993;"19.11.1975";{548F25A7-5A4E-40B4-A878-0F243C32A107}
"Trnavka";"Vodn˝ tok";"P-378/1975";2005;"19.11.1975";{C42AA816-09ED-434E-BDBF-596D5EC56305}
"Bury";"Pole";"P-108/1978";1993;"30.03.1978";{42F4CCBD-CC67-460A-8741-778605118255}
"FarkaöÌn";"Pole";"P-108/1978";1993;"30.03.1978";{3E067299-5F0B-F2F4-E053-3DC4A8C0ECC2}
"HornÈ diely";"Pole";"P-108/1978";1993;"30.03.1978";{D05C6BB6-6763-43E3-AC96-4CCFF1FE468A}
"GreniËova skala";"Les";"P-378/1975";1993;"19.11.1975";{E44032F4-D0B1-44AC-9FD4-446F4A356805}
"Jozefka";"BaÚa, öachta, ötÙlÚa";"P-387/1992";2013;"23.09.1992";{29691B72-0FF7-4910-B006-B6B536D27AF9}
"KæuËka";"Hor·reÚ";"P-221/1981";1994;"09.09.1981";{EEAF66E8-446A-431A-82EB-830DB8595526}
"Sv. Anna";"Kaplnka";"P-259/1992";2009;"16.06.1992";{88F81D5C-F2D3-44E2-AE06-81F0BAA69EEE}
"»ipkovÈ";"Pole";"P-801/1993";2010;"16.11.2010";{AB3A372A-3C43-4400-ABDE-B1CF2B33F96F}
"Jasenovec";"Pole";"P-378/1975";1993;"19.11.1975";{1B996CB6-D27D-48D7-A88B-0D37909D2D40}
"Pri studni";"Pole";"P-108/1978";1985;"30.03.1978";{8A3D2DAA-B9E5-43D3-BECC-9DC952454BEF}
"Blahuö";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{D7088A86-4475-4969-94E2-2F10A92A6CF4}
