"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
818275;"Horné Turovce";502286;"Horné Turovce";402;"Levice";4;"Nitriansky";-436735.89;-1295026.8
818283;"Horné Vestenice";514012;"Horné Vestenice";307;"Prievidza";3;"Trenèiansky";-470881.19;-1225657.16
818291;"Horné Zahorany";514853;"Horné Zahorany";609;"Rimavská Sobota";6;"Banskobystrickı";-357099.24;-1262065.92
818313;"Horné Zelenice";556530;"Horné Zelenice";203;"Hlohovec";2;"Trnavskı";-523599.53;-1258090.26
818321;"Hornı Badín";518441;"Hornı Badín";605;"Krupina";6;"Banskobystrickı";-426205.15;-1278565.15
818330;"Bodíky";503461;"Bodíky";201;"Dunajská Streda";2;"Trnavskı";-550068.54;-1309133.16
818356;"Hornı Bar";501603;"Hornı Bar";201;"Dunajská Streda";2;"Trnavskı";-549370.13;-1305414.31
818364;"Šu¾any";501603;"Hornı Bar";201;"Dunajská Streda";2;"Trnavskı";-551135.24;-1305015.32
818381;"Hornı Hrièov";517593;"Hornı Hrièov";511;"ilina";5;"ilinskı";-449482.84;-1168624.19
818399;"Hornı Kalník";512290;"Hornı Kalník";506;"Martin";5;"ilinskı";-428479.71;-1194821.62
818402;"Hornı Lieskov";580856;"Hornı Lieskov";306;"Povaská Bystrica";3;"Trenèiansky";-467400.27;-1187742.04
818411;"Hornı Moštenec";512842;"Povaská Bystrica";306;"Povaská Bystrica";3;"Trenèiansky";-464838.73;-1187284.39
818429;"Hornı Ohaj";500933;"Vráble";403;"Nitra";4;"Nitriansky";-482474.09;-1275956.14
818437;"Hornı Pial";502294;"Hornı Pial";402;"Levice";4;"Nitriansky";-474416.19;-1288617.81
818453;"Hornı Tisovník";518450;"Hornı Tisovník";604;"Detva";6;"Banskobystrickı";-405340.93;-1262649.94
818526;"Hornı Vadièov";509205;"Hornı Vadièov";504;"Kysucké Nové Mesto";5;"ilinskı";-431384.53;-1167556.68
818551;"Horovce";513121;"Horovce";308;"Púchov";3;"Trenèiansky";-479793.79;-1188131.75
818577;"Horovce";522481;"Horovce";807;"Michalovce";8;"Košickı";-225227.22;-1244091.74
818585;"Horša";502031;"Levice";402;"Levice";4;"Nitriansky";-455409.57;-1280411.9
818607;"Hoste";503789;"Hoste";202;"Galanta";2;"Trnavskı";-532945.04;-1271730.49
818615;"Hostice";514861;"Hostice";609;"Rimavská Sobota";6;"Banskobystrickı";-352418.07;-1288952.54
818631;"Hostie";500283;"Hostie";407;"Zlaté Moravce";4;"Nitriansky";-471928.83;-1254477.71
818640;"Panskı diel";500283;"Hostie";407;"Zlaté Moravce";4;"Nitriansky";-469749.4;-1250119.83
818658;"Hostišovce";514870;"Hostišovce";609;"Rimavská Sobota";6;"Banskobystrickı";-347780.0;-1259691.99
818674;"Hosová";555959;"Hosová";403;"Nitra";4;"Nitriansky";-490218.46;-1267700.68
818682;"Hosovce";500305;"Hosovce";407;"Zlaté Moravce";4;"Nitriansky";-479180.91;-1256309.47
818704;"Hostovice";520209;"Hostovice";709;"Snina";7;"Prešovskı";-196714.1;-1198056.74
818712;"Hoštiná";513610;"Púchov";308;"Púchov";3;"Trenèiansky";-473390.71;-1175858.59
818721;"Hozelec";523496;"Hozelec";706;"Poprad";7;"Prešovskı";-328194.23;-1201893.93
818763;"Hrabièov";516813;"Hrabièov";612;"arnovica";6;"Banskobystrickı";-453894.07;-1247907.68
818801;"Hrabkov";524476;"Hrabkov";707;"Prešov";7;"Prešovskı";-279241.71;-1212864.0
818810;"Hrabová Roztoka";520217;"Hrabová Roztoka";709;"Snina";7;"Prešovskı";-186455.89;-1225301.09
818828;"Hrabovèík";527319;"Hrabovèík";712;"Svidník";7;"Prešovskı";-238614.32;-1177996.95
818836;"Hrabové";517461;"Bytèa";501;"Bytèa";5;"ilinskı";-455507.14;-1173499.43
818844;"Hrabovec";519251;"Hrabovec";701;"Bardejov";7;"Prešovskı";-250925.43;-1178505.82
818852;"Hrabovec nad Laborcom";520225;"Hrabovec nad Laborcom";702;"Humenné";7;"Prešovskı";-212446.63;-1200396.21
818861;"Hrabovka";506044;"Hrabovka";309;"Trenèín";3;"Trenèiansky";-496844.8;-1199823.6
818887;"Hrabské";519260;"Hrabské";701;"Bardejov";7;"Prešovskı";-272933.67;-1169620.15
818909;"Hrabušice";526592;"Hrabušice";810;"Spišská Nová Ves";8;"Košickı";-325750.24;-1210658.74
818941;"Hradisko";523500;"Hradisko";703;"Kemarok";7;"Prešovskı";-314252.37;-1199429.98
818950;"Hradisko";525294;"Teròa";707;"Prešov";7;"Prešovskı";-264775.83;-1190976.33
818968;"Hradište";542962;"Hradište";305;"Partizánske";3;"Trenèiansky";-475425.32;-1229235.01
818984;"Hradište";511447;"Hradište";607;"Poltár";6;"Banskobystrickı";-377788.39;-1256871.67
819000;"Hradište pod Vrátnom";504386;"Hradište pod Vrátnom";205;"Senica";2;"Trnavskı";-540181.61;-1230383.22
819018;"Hrádok";506052;"Hrádok";304;"Nové Mesto nad Váhom";3;"Trenèiansky";-504857.53;-1226904.13
819042;"Hrachovište";506061;"Hrachovište";304;"Nové Mesto nad Váhom";3;"Trenèiansky";-522247.79;-1222315.14
819051;"Hrachovo";514888;"Hrachovo";609;"Rimavská Sobota";6;"Banskobystrickı";-363749.52;-1263363.36
819069;"Hraò";528366;"Hraò";811;"Trebišov";8;"Košickı";-224788.6;-1260645.65
819085;"Kechnec";559687;"Kechnec";806;"Košice - okolie";8;"Košickı";-262981.49;-1258622.37
819107;"Milhos";580252;"Milhos";806;"Košice - okolie";8;"Košickı";-262367.47;-1260369.07
819123;"Hranièné";526738;"Hranièné";710;"Stará ¼ubovòa";7;"Prešovskı";-299950.66;-1164509.09
819131;"Hranovnica";523518;"Hranovnica";706;"Poprad";7;"Prešovskı";-332188.54;-1207583.28
819158;"Hrašné";506079;"Hrašné";303;"Myjava";3;"Trenèiansky";-525849.32;-1217662.89
819212;"Hrašovík";521442;"Hrašovík";806;"Košice - okolie";8;"Košickı";-257843.37;-1237133.73
819221;"Hrboltová";510998;"Ruomberok";508;"Ruomberok";5;"ilinskı";-406784.07;-1187629.79
819247;"Hrèe¾";528374;"Hrèe¾";811;"Trebišov";8;"Košickı";-231906.11;-1263173.06
819255;"Hrhov";525740;"Hrhov";808;"Roòava";8;"Košickı";-300616.53;-1251611.34
819263;"Hriadky";528382;"Hriadky";811;"Trebišov";8;"Košickı";-229592.27;-1243331.21
819271;"Hrièovské Podhradie";547590;"Hrièovské Podhradie";511;"ilina";5;"ilinskı";-452135.54;-1172166.67
819298;"Hriòová";518468;"Hriòová";604;"Detva";6;"Banskobystrickı";-389925.65;-1244544.56
819441;"Hrišovce";543144;"Hrišovce";801;"Gelnica";8;"Košickı";-287241.57;-1212754.28
819450;"Hrkovce";581895;"Hrkovce";402;"Levice";4;"Nitriansky";-440950.68;-1298511.92
819468;"Hrlica";514896;"Hrlica";608;"Revúca";6;"Banskobystrickı";-352330.83;-1244817.69
819476;"Hrnèiarovce";581020;"Hrnèiarovce nad Parnou";207;"Trnava";2;"Trnavskı";-538619.69;-1262702.99
819514;"Pondelok";514900;"Hrnèiarska Ves";607;"Poltár";6;"Banskobystrickı";-369214.11;-1265676.94
819531;"Ve¾ká Suchá";514900;"Hrnèiarska Ves";607;"Poltár";6;"Banskobystrickı";-366919.37;-1265395.98
819549;"Hrnèiarske Zaluany";514918;"Hrnèiarske Zaluany";607;"Poltár";6;"Banskobystrickı";-367525.98;-1268518.67
819557;"Dolnı Štál";501611;"Dolnı Štál";201;"Dunajská Streda";2;"Trnavskı";-526645.99;-1307980.18
819565;"Hornı Štál";501611;"Dolnı Štál";201;"Dunajská Streda";2;"Trnavskı";-529942.23;-1306702.49
819581;"Tône";501611;"Dolnı Štál";201;"Dunajská Streda";2;"Trnavskı";-529401.71;-1310108.35
819603;"Hrocho";508659;"Hrocho";601;"Banská Bystrica";6;"Banskobystrickı";-404890.02;-1237519.17
819620;"Hromoš";526746;"Hromoš";710;"Stará ¼ubovòa";7;"Prešovskı";-293433.87;-1179944.31
819662;"Hronec";508667;"Hronec";603;"Brezno";6;"Banskobystrickı";-389816.99;-1232575.73
819671;"Brusno";508675;"Brusno";601;"Banská Bystrica";6;"Banskobystrickı";-401613.07;-1216482.87
819701;"Èajakovo";502324;"Hronovce";402;"Levice";4;"Nitriansky";-459372.21;-1308249.2
819719;"Domaša";502324;"Hronovce";402;"Levice";4;"Nitriansky";-463428.55;-1306934.83
819735;"Vozokany nad Hronom";502324;"Hronovce";402;"Levice";4;"Nitriansky";-460592.72;-1305185.09
819743;"Hronsek";580236;"Hronsek";601;"Banská Bystrica";6;"Banskobystrickı";-416450.99;-1237691.01
819760;"Hronská Breznica";518476;"Hronská Breznica";611;"Zvolen";6;"Banskobystrickı";-430267.64;-1247687.2
814539;"Hody";503665;"Galanta";202;"Galanta";2;"Trnavskı";-529092.58;-1278173.84
814610;"Nebojsa";503665;"Galanta";202;"Galanta";2;"Trnavskı";-526435.05;-1276678.53
